Sr no,Star_name,Distance_of_Star,Mass_of_Star,Radius_of_Star,Luminosity_of_Star,Dwarf_name,Constellation,Distance_of_Dwarf,Mass_of_Dwarf,Radius_of_Dwarf
0,Sun,0.000015813,1,1,1
1,Sirius,8.6,2.1,1.71´,25.4,LHS 102BC,Phoenix,,,
2,Canopus,310,15,71,"13,500"
3,Alpha Centauri,4.4,1.1,1.2,2,2MASS J00034227-2822410,Sculptor,,,
4,Arcturus,37,1.1,26,170
5,Vega,25,2.2,2.7,50,2MASS J02511327+0047364,,,,
6,Capella,43,2.6,12,150
7,Rigel,860,23,78.9,"1,20,000",TWA 27A,,,,
8,Procyon,11.4,1.5,1.9,7.7
9,Betelgeuse,0640[1],20,950,"60,000",TWA 27B,,,,
10,Achernar,144,6.7,9.3,"3,000"
11,Hadar,390,10.5,8.6,"42,000",2MASS J14112131-2119503,,,,
12,Altair,17,1.8,1.8,10.5
13,Acrux,320,18,8.9,"25,000",2MASS J02103857-3015313,,101,0.01431882,0.15722739
14,Aldebaran,65,1.5,44,520
15,Antares,600,12,680,"75,000",2MASS J13204427+0409045,,101,0.063957396,0.10379063
16,Spica,260,11.43,7.47,"20,512"
17,Pollux,34,1.9,8.8,43,WISE 0038+8405,Cepheus,101.8,,
18,Fomalhaut,25,1.9,1.8,16.6
19,Deneb,"2,600",19,203,"2,00,000",2MASS J06085283-2753583,,102,0.036274344,0.15517213
20,Mimosa,350,16,8.4,"34,000"
21,Regulus,77,3.8,3.1,290,WISE 1147-2040,Hydra,102,,
22,Adhara,430,12.5,14,"39,000"
23,Shaula,700,14.5,8.8,"36,000",CFBDSIR 1458+10A,Boötes,104,0.010595927,0.1541445
24,Castor,52,2.8,2.4,30
25,Gacrux,88,1.5,84,820,CFBDSIR 1458+10B,Boötes,104,0.008591292,0.1335919
26,Bellatrix,240,8.6,5.8,"9,200"
27,Elnath,130,5,4.2,700,2MASS J20004841-7523070,,105,0.0238647,0.19319444
28,Miaplacidus,110,3.5,6.8,290
29,Alnilam,"2,000",32,42,"3,80,000",WISE 0316+4307,Perseus,106.3,,
